id,created_at,name,prix_min,prix_moyen_24h,prix_moyen_30j,statstrack,souvenir,img_url,min_float,max_float,typeId,rarityId,collectionId,usureId,updatedAt
0009b210-bc7a-4223-b133-e22c05864a0e,2025-04-07 10:24:25.959981+00,MP5SD | Liquidation,99999,99999,99999,true,false,https://raw.githubusercontent.com/ByMykel/counter-strike-image-tracker/main/static/panorama/images/econ/default_generated/weapon_mp5sd_cu_mp5sd_quick_liquidation_light_png.png,0,1,58b1b2ec-09e3-4c53-9b95-35e1daed6536,095abe9f-361a-412a-a65c-845c7c5bf334,bc1159b3-1328-42e8-bfc5-5470b2636f57,34404936-2d1d-4161-8bd9-3aa1b1926d27,
000b98f2-a971-41d1-875b-145ccb38a9cd,2025-04-07 10:23:58.905438+00,AUG | Lys belle-de-minuit,99999,99999,99999,false,false,https://raw.githubusercontent.com/ByMykel/counter-strike-image-tracker/main/static/panorama/images/econ/default_generated/weapon_aug_am_bloom_blue_light_png.png,0,0.5,f53642d3-7d7a-49df-8895-39e1b762f123,8cf26468-56a6-4fff-a6df-8f2b46c044a8,38e3fd3f-8147-4e18-8847-75ba2e535910,c605ec91-ae5d-4a20-a642-3f9806071efc,
00135b67-1b73-4de7-97e0-3f6ffbea5f7c,2025-04-07 10:24:11.318004+00,Glock-18 | Ocean Topo,99999,99999,99999,false,false,https://raw.githubusercontent.com/ByMykel/counter-strike-image-tracker/main/static/panorama/images/econ/default_generated/weapon_glock_hye_topo_light_png.png,0,0.6,fb16631c-6e71-497d-abab-ee8f50d8e416,22afba53-2376-4f1b-bc63-1647fc97556c,bda28689-0e2b-4bcd-af8e-4ba88c957339,c605ec91-ae5d-4a20-a642-3f9806071efc,
00239840-e119-4060-84fd-883be7ad2287,2025-04-07 10:24:11.318004+00,Couteau papillon (★) | Doppler,99999,99999,99999,true,false,https://raw.githubusercontent.com/ByMykel/counter-strike-image-tracker/main/static/panorama/images/econ/default_generated/weapon_knife_butterfly_am_blackpearl_marbleized_b_light_png.png,0,0.08,3e66b69c-8275-4a77-9455-881de322d436,3b4de0c0-fd22-4c55-8222-968a2cea4db5,,bca54d16-e962-47cb-996f-cf68a32896ea,
00274ec9-9342-499b-8e2b-877caab7f94d,2025-04-07 10:24:33.613612+00,Révolver R8 | Cobalt Grip,99999,99999,99999,false,false,https://raw.githubusercontent.com/ByMykel/counter-strike-image-tracker/main/static/panorama/images/econ/default_generated/weapon_revolver_soch_indigo_grips_light_png.png,0,0.80339,3f6391ba-13bc-46a5-9a0f-4a4f53d8e00d,72817c51-f8f5-41f0-b586-1c5c6ee127e0,bda28689-0e2b-4bcd-af8e-4ba88c957339,bd92534f-ca55-4ca9-a9fb-45ae3799e036,
004ae6a1-1a74-44b5-8885-81c5222c9270,2025-04-07 10:24:09.709786+00,Glock-18 | AXIA,99999,99999,99999,false,false,https://raw.githubusercontent.com/ByMykel/counter-strike-image-tracker/main/static/panorama/images/econ/default_generated/weapon_glock_gsch_axia_glock_light_png.png,0,0.7,fb16631c-6e71-497d-abab-ee8f50d8e416,b31ba83b-f395-4c74-beb6-da418aefa40d,20911da0-556b-42d5-8252-1de204f728d2,c605ec91-ae5d-4a20-a642-3f9806071efc,
0050bd6e-ea2b-4216-b09d-3f0c3440998f,2025-04-07 10:24:23.139508+00,M4A4 | Hellish,99999,99999,99999,false,false,https://raw.githubusercontent.com/ByMykel/counter-strike-image-tracker/main/static/panorama/images/econ/default_generated/weapon_m4a1_cu_m4a4_train_hell_light_png.png,0,1,eb4d3a68-f86d-46b2-be4e-44f066258c53,b31ba83b-f395-4c74-beb6-da418aefa40d,d81fd0f2-9b75-462f-b12b-4d8efd1c4ee9,bd92534f-ca55-4ca9-a9fb-45ae3799e036,
00549da5-2b49-40d0-b088-fba54c750285,2025-04-07 10:23:56.229821+00,Bandages (★) | Shemagh du désert,99999,99999,99999,false,false,https://raw.githubusercontent.com/ByMykel/counter-strike-image-tracker/main/static/panorama/images/econ/default_generated/leather_handwraps_handwrap_fabric_houndstooth_orange_light_png.png,0.06,0.8,948273f2-7941-48cc-b140-2a4100c9b7fd,d76fc3b1-a4f4-44cb-be3b-b59b3adbde1a,,34404936-2d1d-4161-8bd9-3aa1b1926d27,
0054cab7-068c-40c5-8ed5-60f8ded73189,2025-04-07 10:24:00.396412+00,AWP | Version d'élite,99999,99999,99999,true,false,https://raw.githubusercontent.com/ByMykel/counter-strike-image-tracker/main/static/panorama/images/econ/default_generated/weapon_awp_cu_awp_mastery_light_png.png,0,1,6fce23d7-efa2-4bb7-a632-bfe5113fa2c9,b31ba83b-f395-4c74-beb6-da418aefa40d,1bed5500-b410-43e4-96f7-ec8cdc895c7b,34404936-2d1d-4161-8bd9-3aa1b1926d27,
005cc320-5555-429f-b0a9-6f24512bfe0d,2025-04-07 10:24:20.31736+00,Ursus (★) | Maillage safari,99999,99999,99999,true,false,https://raw.githubusercontent.com/ByMykel/counter-strike-image-tracker/main/static/panorama/images/econ/default_generated/weapon_knife_ursus_sp_mesh_tan_light_png.png,0.06,0.8,c95ac01b-8755-447c-907e-976bcc833aa5,3b4de0c0-fd22-4c55-8222-968a2cea4db5,,bd92534f-ca55-4ca9-a9fb-45ae3799e036,
